data,pressao_atm,temp_med_dia,umid_relativa,veloc_vento,prec_total,dose,temp_max_dia,temp_min_dia,dia_juliano,dia_semana,data_unix,est_inverno,est_outono,est_primavera,est_verao,dir_vento_E,dir_vento_N,dir_vento_NE,dir_vento_NW,dir_vento_S,dir_vento_SE,dir_vento_SW,dir_vento_W,freq_intern,idade_med,dias_intern_med,idade_mod,dias_intern_mod,freq_intern_1d,freq_intern_2d,freq_intern_3d,freq_intern_4d,freq_intern_5d
2017-01-01,1002.5375,27.349999999999998,75.91666666666667,1.5958333333333332,0.0,27.588722,33.0,22.4,1,6,1483228800,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,58.0,5.0,0.58,1,35.0,38.0,30.0,38.0,27.0
2017-01-02,1005.3833333333333,27.241666666666664,79.79166666666667,1.3125,0.0,19.698622000000004,31.6,24.3,2,0,1483315200,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,57.0,4.0,0.83,1,38.0,30.0,38.0,27.0,19.0
2017-01-03,1004.4,27.474999999999998,75.79166666666667,1.45,0.0,25.897676,34.6,22.5,3,1,1483401600,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,48.5,6.5,59.0,7,30.0,38.0,27.0,19.0,15.0
2017-01-04,1002.1,25.208333333333332,85.66666666666667,1.8291666666666666,78.8,19.298059000000002,33.3,20.9,4,2,1483488000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30,50.5,4.5,0.25,1,38.0,27.0,19.0,15.0,34.0
2017-01-05,1003.875,24.72083333333333,86.5,1.0916666666666666,10.799999999999999,19.248597,31.2,21.5,5,3,1483574400,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38,47.5,6.5,61.0,4,27.0,19.0,15.0,34.0,28.0
2017-01-06,1009.9541666666668,23.875,80.04166666666667,2.029166666666667,0.2,19.262783,27.4,21.1,6,4,1483660800,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,39.0,4.0,0.08,3,19.0,15.0,34.0,28.0,24.0
2017-01-07,1008.1916666666666,24.150000000000002,78.83333333333333,1.3875,0.0,12.121592999999999,29.5,21.3,7,5,1483747200,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,39.0,9.0,0.42,4,15.0,34.0,28.0,24.0,27.0
2017-01-08,1003.9625,27.483333333333334,76.75,0.8166666666666668,0.0,24.907739000000003,33.4,23.3,8,6,1483833600,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15,64.0,9.0,46.0,9,34.0,28.0,24.0,27.0,26.0
2017-01-09,999.9416666666666,26.829166666666666,81.0,1.7999999999999998,8.0,18.30418,30.5,22.1,9,0,1483920000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34,41.0,4.5,1.0,1,28.0,24.0,27.0,26.0,25.0
2017-01-10,1001.2541666666666,25.2375,83.625,1.5875000000000001,41.4,18.975576999999998,30.1,21.7,10,1,1484006400,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28,49.5,4.0,23.0,1,24.0,27.0,26.0,25.0,21.0
2017-01-11,1006.7708333333334,25.0625,83.58333333333333,1.7249999999999999,3.6,27.469594,30.5,22.4,11,2,1484092800,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,40.5,4.0,43.0,1,27.0,26.0,25.0,21.0,25.0
2017-01-12,1009.6374999999999,24.695833333333336,75.45833333333333,1.6375,0.0,30.206822,30.8,19.9,12,3,1484179200,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,63.0,4.0,1.0,1,26.0,25.0,21.0,25.0,27.0
2017-01-13,1005.4875000000001,25.72083333333333,70.41666666666667,1.5208333333333333,0.0,30.219712,33.6,18.5,13,4,1484265600,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26,56.0,6.0,2.0,6,25.0,21.0,25.0,27.0,26.0
2017-01-14,1003.0875,26.53333333333333,79.20833333333333,1.0374999999999999,0.2,18.818646,31.2,23.4,14,5,1484352000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25,52.0,7.0,60.0,4,21.0,25.0,27.0,26.0,23.0
2017-01-15,1003.8166666666666,26.71666666666667,80.95833333333333,1.5166666666666666,0.0,23.303,32.8,23.3,15,6,1484438400,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,39.0,6.0,16.0,5,25.0,27.0,26.0,23.0,21.0
2017-01-16,1002.1333333333333,26.320833333333336,80.75,1.3208333333333333,25.0,14.338752000000001,31.6,20.5,16,0,1484524800,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,59.0,4.0,33.0,1,27.0,26.0,23.0,21.0,16.0
2017-01-17,998.2291666666666,24.40416666666667,85.20833333333333,1.4541666666666666,14.2,21.738622,30.5,20.9,17,1,1484611200,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27,55.0,8.0,2.0,1,26.0,23.0,21.0,16.0,13.0
2017-01-18,1002.475,26.004166666666666,77.625,1.6624999999999999,0.0,26.471529000000004,31.1,23.1,18,2,1484697600,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26,52.5,7.5,36.0,7,23.0,21.0,16.0,13.0,26.0
2017-01-19,1011.1999999999999,24.150000000000002,71.95833333333333,1.9875,0.0,31.150436,29.2,19.0,19,3,1484784000,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,37.0,4.0,38.0,1,21.0,16.0,13.0,26.0,28.0
2017-01-20,1013.3125,24.066666666666666,69.95833333333333,1.9041666666666668,0.0,30.059023,29.9,19.3,20,4,1484870400,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,46.0,7.0,50.0,1,16.0,13.0,26.0,28.0,31.0
2017-01-21,1012.3458333333333,24.129166666666666,71.66666666666667,2.095833333333333,0.0,28.684046000000002,29.5,19.7,21,5,1484956800,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,59.5,8.0,43.0,1,13.0,26.0,28.0,31.0,26.0
